time	V(out)
1.761161576727103e+001	2.446586e+000
1.770861894109916e+001	2.013036e+000
1.780562211492729e+001	1.658393e+000
1.784825780702731e+001	1.523132e+000
1.785361646558908e+001	1.517998e+000
1.785726872357012e+001	1.590182e+000
1.786270048809731e+001	1.790744e+000
1.795501583244860e+001	4.640285e+000
1.808997676994859e+001	5.800889e+000
1.820276785052428e+001	4.757591e+000
1.829555349505553e+001	3.951952e+000
1.836303396380554e+001	3.453641e+000
1.844316702044616e+001	2.945160e+000
1.857812795794616e+001	2.248217e+000
1.871308889544616e+001	1.716198e+000
1.884383230364928e+001	1.319898e+000
1.891212192953335e+001	1.225212e+000
1.893352672559571e+001	1.697751e+000
1.904479898460968e+001	3.594574e+000
1.917975992210968e+001	3.583402e+000
1.931472085960968e+001	2.744732e+000
1.948342203148467e+001	1.958446e+000
1.961838296898467e+001	1.494998e+000
1.975334390648467e+001	1.141220e+000
1.988830484398466e+001	8.711597e-001
1.998969568293912e+001	9.056094e-001
2.001440465743282e+001	1.213105e+000
2.012434638318935e+001	1.976757e+000
2.025930732068935e+001	1.749298e+000
2.039426825818935e+001	1.335933e+000
2.052922919568934e+001	1.019796e+000
2.066419013318934e+001	7.784694e-001
2.079915107068934e+001	5.942501e-001
2.093411200818933e+001	4.536243e-001
2.105773180042325e+001	3.982518e-001
2.113775481275598e+001	6.936654e-001
2.127271575025598e+001	7.494366e-001
2.140767668775598e+001	5.776539e-001
2.157637785963097e+001	4.121700e-001
2.171133879713097e+001	3.146315e-001
2.184629973463097e+001	2.401744e-001
2.198126067213097e+001	1.833368e-001
2.210396728536330e+001	1.610058e-001
2.217580837468721e+001	3.656122e-001
2.229811901872534e+001	5.323495e-001
2.243307995622534e+001	4.311230e-001
2.256804089372534e+001	3.291154e-001
2.270300183122533e+001	2.512308e-001
2.283796276872533e+001	1.917768e-001
2.297292370622533e+001	1.463920e-001
2.309362870330787e+001	1.189769e-001
2.312921201246844e+001	2.652775e-001
2.320407731048418e+001	8.477573e-001
2.333903824798418e+001	1.293387e+000
2.347399918548418e+001	1.052612e+000
2.360896012298418e+001	8.035291e-001
2.374392106048417e+001	6.133797e-001
2.387888199798417e+001	4.682271e-001
2.401384293548417e+001	3.574233e-001
2.412788727009760e+001	3.042840e-001
2.415167456882771e+001	5.894364e-001
2.423379396069750e+001	1.901300e+000
2.436875489819749e+001	2.888802e+000
2.450371583569749e+001	2.378571e+000
2.467241700757249e+001	1.697185e+000
2.480737794507249e+001	1.295562e+000
2.494233888257248e+001	9.889782e-001
2.507729982007248e+001	7.549444e-001
2.514056275952560e+001	6.645228e-001
2.516779710592500e+001	6.308172e-001
2.517385830897584e+001	6.478535e-001
2.517896806647067e+001	7.592000e-001
2.520499261010345e+001	1.518981e+000
2.532791038722298e+001	4.293441e+000
2.546287132472298e+001	4.686284e+000
2.555938045081352e+001	3.892114e+000
2.563107844886039e+001	3.372553e+000
2.569012385901664e+001	2.997091e+000
2.576603938636040e+001	2.576133e+000
2.590100032386039e+001	1.967656e+000
2.603596126136039e+001	1.502029e+000
2.612874690589164e+001	1.246361e+000
2.619139475469748e+001	1.099606e+000
2.621900329680029e+001	1.060691e+000
2.622331099145747e+001	1.170021e+000
2.624065945371790e+001	1.875437e+000
2.631089249931537e+001	4.430995e+000
2.644167268367616e+001	6.756472e+000
2.654727211106457e+001	5.994851e+000
2.661921519737331e+001	5.190329e+000
2.670356578331082e+001	4.385125e+000
2.682587413292019e+001	3.433913e+000
2.691865977745144e+001	2.855335e+000
2.705362071495144e+001	2.179648e+000
2.715062388877956e+001	1.793400e+000
2.723823643438957e+001	1.505250e+000
2.726074379036530e+001	1.439001e+000
2.726485312534037e+001	1.428221e+000
2.726724120190736e+001	1.434008e+000
2.727002603341212e+001	1.510078e+000
2.727691449775142e+001	1.842191e+000
2.734975179009861e+001	5.072811e+000
2.747766856624032e+001	7.962296e+000
2.758150141422001e+001	7.213477e+000
2.764233785585729e+001	6.386151e+000
2.774304397942347e+001	5.221795e+000
2.785120981584641e+001	4.206321e+000
2.792953680084233e+001	3.599964e+000
2.806449773834233e+001	2.748442e+000
2.816150091217045e+001	2.261401e+000
2.827537420318608e+001	1.801088e+000
2.830894752025294e+001	1.684055e+000
2.831432798740903e+001	1.666862e+000
2.831652707452632e+001	1.669173e+000
2.831932268052527e+001	1.743019e+000
2.832343263071074e+001	1.947781e+000
2.839410309213526e+001	5.257979e+000
2.847406173215777e+001	7.653153e+000
2.860151884982482e+001	7.798989e+000
2.867398863957677e+001	6.765756e+000
2.878032272133030e+001	5.469653e+000
2.886620794120816e+001	4.606803e+000
2.894800338871088e+001	3.913782e+000
2.908194227083696e+001	2.995578e+000
2.918316297396196e+001	2.443901e+000
2.930125379427446e+001	1.930038e+000
2.935747616165957e+001	1.724791e+000
2.936442004766674e+001	1.701494e+000
2.936684381766431e+001	1.699220e+000
2.936952708269324e+001	1.745278e+000
2.937346537475441e+001	1.917521e+000
2.941511680510626e+001	3.791898e+000
2.949979597785136e+001	6.534774e+000
2.963475691535136e+001	7.193028e+000
2.970969298405865e+001	6.234496e+000
2.980247862858990e+001	5.178895e+000
2.986995909733991e+001	4.525876e+000
2.995009215398053e+001	3.855585e+000
3.004287779851178e+001	3.205960e+000
3.017783873601178e+001	2.447301e+000
3.027484190983990e+001	2.013624e+000
3.037184508366803e+001	1.658877e+000
3.041493421797658e+001	1.522309e+000
3.042015814652184e+001	1.519180e+000
3.042361680185643e+001	1.589462e+000
3.042908404156895e+001	1.791234e+000
3.052127877448939e+001	4.637788e+000
3.065623971198938e+001	5.805432e+000
3.075004584989188e+001	4.941391e+000
3.086959799544671e+001	3.889163e+000
3.092864340560296e+001	3.456188e+000
3.101721152083734e+001	2.898367e+000
3.115217245833733e+001	2.212497e+000
3.128713339583733e+001	1.688931e+000
3.139678915755608e+001	1.354998e+000
3.147331064632989e+001	1.171297e+000
3.148220117473682e+001	1.256804e+000
3.149440132506107e+001	1.563612e+000
3.157356665394548e+001	3.137516e+000
3.170852759144548e+001	3.791153e+000
3.184348852894548e+001	2.959098e+000
3.201218970082047e+001	2.111402e+000
3.214715063832048e+001	1.611759e+000
3.228211157582049e+001	1.230351e+000
3.241707251332051e+001	9.391986e-001
3.254001233359022e+001	7.737122e-001
3.255903647216882e+001	9.391727e-001
3.262347260658978e+001	1.624424e+000
3.275843354408979e+001	1.960295e+000
3.289339448158980e+001	1.528322e+000
3.302835541908981e+001	1.166659e+000
3.316331635658982e+001	8.905785e-001
3.329827729408984e+001	6.798298e-001
3.343323823158985e+001	5.189525e-001
3.356819916908986e+001	3.966481e-001
3.365240797927804e+001	4.937061e-001
3.371364009118933e+001	7.154579e-001
3.384860102868934e+001	7.377975e-001
3.398356196618935e+001	5.667613e-001
3.411852290368936e+001	4.326404e-001
3.425348384118937e+001	3.302578e-001
3.438844477868938e+001	2.521029e-001
3.452340571618939e+001	1.923973e-001
