time	V(in)	V(out)
1.568931080713348e+001	-1.004812e+000	
1.571883351221161e+001	5.863593e-001	
1.574413868799286e+001	1.936921e+000	
1.575679127588349e+001	2.595268e+000	
1.577787892236786e+001	3.663483e+000	
1.580740162744599e+001	5.052293e+000	
1.581583668603974e+001	5.416224e+000	
1.583270680322724e+001	6.116926e+000	
1.583533974312250e+001	6.221621e+000	
1.584060562291302e+001	6.423201e+000	
1.584280243010577e+001	6.505856e+000	
1.584404638989339e+001	6.551967e+000	
1.584489379645913e+001	6.583115e+000	
1.584583983785505e+001	6.617669e+000	
1.584669479695182e+001	6.648702e+000	
1.584783221488488e+001	6.689732e+000	
1.584863019426498e+001	6.718334e+000	
1.584962244168257e+001	6.753659e+000	
1.585065776666679e+001	6.790242e+000	
1.585218612330065e+001	6.843749e+000	
1.585388941001421e+001	6.902759e+000	
1.585550018786324e+001	6.957852e+000	
1.586840967403358e+001	7.369096e+000	
1.588267682688928e+001	7.756752e+000	
1.591121113260070e+001	8.357402e+000	
1.594495136697570e+001	8.781729e+000	
1.597869160135070e+001	8.888038e+000	
1.600166119126877e+001	8.754346e+000	
1.602314269680808e+001	8.463996e+000	
1.604219641001347e+001	8.088469e+000	
1.605971899202853e+001	7.662499e+000	
1.607237157991915e+001	7.284351e+000	
1.609345922640353e+001	6.576315e+000	
1.612298193148165e+001	5.403566e+000	
1.615250463655978e+001	4.064610e+000	
1.618202734163790e+001	2.602150e+000	
1.621155004671603e+001	1.062680e+000	
1.624107275179415e+001	-5.050004e-001	
1.626637792757541e+001	-1.833139e+000	
1.627903051546603e+001	-2.479676e+000	
1.630011816195041e+001	-3.527712e+000	
1.632964086702853e+001	-4.887774e+000	
1.635916357210666e+001	-6.089126e+000	
1.636759863070041e+001	-6.391449e+000	
1.638446874788791e+001	-6.929189e+000	
1.641820898226291e+001	-7.794121e+000	
1.645194921663791e+001	-8.371198e+000	
1.648568945101291e+001	-8.603017e+000	
1.651942968538791e+001	-8.482019e+000	
1.655316991976291e+001	-8.015284e+000	
1.658691015413790e+001	-7.287806e+000	
1.659956274202853e+001	-6.911078e+000	
1.662065038851290e+001	-6.202783e+000	
1.665017309359103e+001	-5.043563e+000	
1.667969579866916e+001	-3.733683e+000	
1.670921850374728e+001	-2.315359e+000	
1.673874120882541e+001	-8.339788e-001	
1.676826391390353e+001	6.633719e-001	
1.679356908968478e+001	1.923095e+000	
1.680622167757541e+001	2.533141e+000	
1.682730932405978e+001	3.518207e+000	
1.685261449984104e+001	4.612825e+000	
1.686526708773166e+001	5.115916e+000	
1.688635473421604e+001	5.895445e+000	
1.689478979280979e+001	6.175488e+000	
1.690438075703102e+001	6.478318e+000	
1.691005196791766e+001	6.648573e+000	
1.691237765915610e+001	6.715705e+000	
1.691371646828548e+001	6.753455e+000	
1.691513708177946e+001	6.792926e+000	
1.691661373224817e+001	6.833455e+000	
1.691771485798521e+001	6.863301e+000	
1.691908990362855e+001	6.900094e+000	
1.692057446412650e+001	6.939290e+000	
1.692215213828880e+001	6.980272e+000	
1.692430740158851e+001	7.035236e+000	
1.692639143064052e+001	7.087124e+000	
1.694378307255429e+001	7.464844e+000	
1.696240121934413e+001	7.755971e+000	
1.699614145371913e+001	8.050920e+000	
1.702988168809413e+001	8.088333e+000	
1.704799426276853e+001	7.971540e+000	
1.706584360765324e+001	7.742434e+000	
1.708542454789583e+001	7.392589e+000	
1.710317136667235e+001	6.974494e+000	
1.714112913034422e+001	5.890771e+000	
1.717065183542234e+001	4.817624e+000	
1.720017454050047e+001	3.604393e+000	
1.722969724557860e+001	2.290656e+000	
1.725921995065672e+001	9.187784e-001	
1.728452512643797e+001	-2.701253e-001	
1.728874265573485e+001	-4.674598e-001	
1.729717771432860e+001	-8.585882e-001	
1.731826536081297e+001	-1.824277e+000	
1.734357053659423e+001	-2.930698e+000	
1.735622312448485e+001	-3.453732e+000	
1.737731077096922e+001	-4.282833e+000	
1.738574582956298e+001	-4.587637e+000	
1.740261594675048e+001	-5.145354e+000	
1.743635618112548e+001	-6.093864e+000	
1.747009641550048e+001	-6.808410e+000	
1.750383664987547e+001	-7.235768e+000	
1.753757688425047e+001	-7.362365e+000	
1.757131711862547e+001	-7.187236e+000	
1.760505735300047e+001	-6.721896e+000	
1.763879758737547e+001	-5.989680e+000	
1.767253782175047e+001	-5.066067e+000	
1.768519040964110e+001	-4.649222e+000	
1.770627805612547e+001	-3.903877e+000	
1.773580076120360e+001	-2.765392e+000	
1.776532346628172e+001	-1.556455e+000	
1.780328122995360e+001	3.781082e-002	
1.782436887643797e+001	9.162238e-001	
1.783280393503172e+001	1.259497e+000	
1.785389158151610e+001	2.101842e+000	
1.787919675729735e+001	3.052047e+000	
1.789184934518798e+001	3.495058e+000	
1.790871946237548e+001	4.034622e+000	
1.794245969675048e+001	4.975511e+000	
1.797619993112548e+001	5.748865e+000	
1.799399995699697e+001	6.070371e+000	
1.800161763014843e+001	6.181538e+000	
